datetime,open,high,low,close,volume
2023-04-06 00:00:00,131.303,131.324,130.769,131.154,22802
2023-04-06 04:00:00,131.154,131.288,130.994,131.154,22362
2023-04-06 08:00:00,131.155,131.486,131.141,131.404,35222
2023-04-06 12:00:00,131.405,131.658,130.949,131.588,39957
2023-04-06 16:00:00,131.591,131.898,131.532,131.602,39391
2023-04-06 20:00:00,131.603,131.842,131.563,131.755,12802
2023-04-07 00:00:00,131.748,131.92,131.592,131.733,16561
2023-04-07 04:00:00,131.737,131.823,131.558,131.694,23614
2023-04-07 08:00:00,131.694,131.94,131.639,131.796,22323
2023-04-07 12:00:00,131.795,132.37,131.518,132.112,29478
2023-04-07 16:00:00,132.115,132.275,131.973,132.131,29546
2023-04-07 20:00:00,132.138,132.261,132.112,132.148,24108
2023-04-10 00:00:00,132.021,132.668,131.822,132.593,23310
2023-04-10 04:00:00,132.594,132.792,132.464,132.651,28800
2023-04-10 08:00:00,132.652,132.732,131.989,132.072,35333
2023-04-10 12:00:00,132.07,133.335,132.027,133.32,42874
2023-04-10 16:00:00,133.319,133.863,133.262,133.689,38806
2023-04-10 20:00:00,133.688,133.688,133.543,133.589,24454
2023-04-11 00:00:00,133.586,133.618,133.236,133.396,24903
2023-04-11 04:00:00,133.396,133.684,133.29,133.393,29436
2023-04-11 08:00:00,133.393,133.55,132.994,133.092,40835
2023-04-11 12:00:00,133.096,133.333,132.962,133.098,42634
2023-04-11 16:00:00,133.096,133.727,133.075,133.715,37976
2023-04-11 20:00:00,133.718,133.798,133.605,133.645,17932
2023-04-12 00:00:00,133.645,133.763,133.545,133.673,33248
2023-04-12 04:00:00,133.672,134.038,133.582,133.753,30899
2023-04-12 08:00:00,133.751,133.962,133.549,133.813,36195
2023-04-12 12:00:00,133.813,133.897,132.727,133.03,41084
2023-04-12 16:00:00,133.028,133.338,132.794,133.18,54479
2023-04-12 20:00:00,133.188,133.394,133.043,133.126,30864
2023-04-13 00:00:00,133.113,133.281,132.934,133.156,20931
2023-04-13 04:00:00,133.155,133.304,133.034,133.266,28138
2023-04-13 08:00:00,133.266,133.368,132.891,133.156,34363
2023-04-13 12:00:00,133.155,133.387,132.493,132.503,39334
2023-04-13 16:00:00,132.504,132.53,132.012,132.37,50322
2023-04-13 20:00:00,132.37,132.79,132.362,132.567,23663
2023-04-14 00:00:00,132.567,132.634,132.433,132.579,25565
2023-04-14 04:00:00,132.579,132.611,132.261,132.469,29541
2023-04-14 08:00:00,132.468,132.588,132.161,132.488,35840
2023-04-14 12:00:00,132.489,133.181,132.188,133.0,44014
2023-04-14 16:00:00,133.0,133.829,132.94,133.774,51983
2023-04-14 20:00:00,133.774,133.807,133.619,133.727,15878
2023-04-17 00:00:00,133.794,133.992,133.703,133.838,19767
2023-04-17 04:00:00,133.837,134.123,133.793,134.055,27842
2023-04-17 08:00:00,134.054,134.209,133.829,133.963,42132
